삼일절 기념 리버스 그래피티 그리기,9:39,조회수 12만회,1년 전
해외에서 난리 난 이 영상을 이과생 소환해서 주작 감별해보았다,7:43,조회수 95만회,1년 전
공돌이한테 무기를 만들어 보라고 했더니.. 렌치를 깎아서 도끼를 만들어 오네?ㅋㅋㅋㅋ (with 오킹),10:53,조회수 70만회,1년 전
운동을 하면 자동으로 고기가 구워지는 마법의 기계 [성수동공업소 - 오킹편],15:47,조회수 33만회,1년 전
오늘부로 간판 바꿔 답니다~  무엇이든 만들어 드림ㅋㅋㅋㅋ [성수동 공업소 티저],1:46,조회수 12만회,1년 전
3D프린터로 만든 놀라운 동물장난감,6:10,조회수 17만회,1년 전
미래 우리의 설날 차례상은 이런 모습일까?,13:41,조회수 11만회,1년 전
작고 귀여운 인형을 18000V의 플라즈마를 내뿜는 괴물로 만들었더니... 충격적인 목소리가..,15:36,조회수 41만회,1년 전
여러분의 눈을 믿지 마세요... 3D프린터로 착시 현상 물건들 만들기ㅋㅋㅋ,8:13,조회수 109만회,1년 전
자강두천 두 메이커의 양보없는 진심 가우스 레일 대결 [찬스VS잭키],10:32,조회수 16만회,1년 전
3D프린터로 실용적으로 책상 정리하기,5:55,조회수 16만회,1년 전
우리나라에만 있다는 탕수육 찍먹 부먹 분쟁을 해결해주는 기계ㅋㅋㅋㅋㅋㅋ,10:50,조회수 25만회,1년 전
공학적으로 눈오리를 절대 부술 수 없게 만드는 방법 (무적 눈오리🦆ㅋㅋㅋ),9:55,조회수 77만회,1년 전
[홈비디오] 길가 얼음에 파묻혀 있는 긱블 작품... 곡괭이로 꺼내주었습니다,3:18,조회수 22만회,1년 전
아니 눈사람에 LED 넣었더니 되더라고...,9:45,조회수 31만회,1년 전
3D프린터로 만든 눈오리집게,6:09,조회수 58만회,1년 전
"어떤 가왕도 겸손하게 만들어 버리는 기상천외한 마법의 마이크.. 진짜 가수한테 써봤더니ㅋㅋㅋ (feat. 그렉형, 마술사 니키)",12:25,조회수 20만회,1년 전
코로나로 취소된 보신각 제야의 종 타종행사 직접 만들어서 종 울리기 [함께만든],21:18,조회수 68만회,1년 전
1초 안에 물병을 가득 채울 수 있는 과학적인 방법(으로 문과 친구 골탕먹이기ㅋㅋㅋ),9:51,조회수 78만회,1년 전
역대급 승차감을 느낄 수 있는 리무진 자전거ㅋㅋㅋ (버려진 자전거 개조하기),13:17,조회수 100만회,1년 전
3D프린터와 함께하는 공돌이들의 크리스마스...,7:34,조회수 38만회,1년 전
집에서 하면 무조건 엄마한테 혼나는 실험,9:01,조회수 52만회,1년 전
증강현실로 초대형 물수제비 기계를 만들어보았습니다 (누구나 가능ㅎ),11:36,조회수 14만회,1년 전
물에 흡수되지 않는 물방울..? 직접 실험해봤다!,9:14,조회수 30만회,1년 전
드릴 말씀이 있습니다...(채용/투자),10:28,조회수 8.1만회,1년 전
전국 메이커들 긱블에 다 모였다ㅋㅋㅋㅋㅋㅋㅋ,17:02,조회수 18만회,1년 전
[ENG SUB] 장난감 거짓말 탐지기의 충격적인 업그레이드... 전기 충격기가 되어버렸다 I Geekble,13:07,조회수 27만회,1년 전
"🐯힙합 레전드 ""타이거JK""와 찐팬의 만남... 진짜 공들여서 만들었는데 형 반응 보고 뭉클했잖아ㅠㅠ🐯",13:32,조회수 40만회,1년 전
자동차 광고에서 자동차 얘기를 하지마,14:42,조회수 16만회,1년 전
내일 날씨에 따라 내용물이 바뀐다는 19세기 물건.. 직접 만들고 실험해봄!,9:43,조회수 82만회,1년 전
치킨이 치킨 배달하는 거 본 적 있음? (자율주행임ㅋㅋㅋ),14:21,조회수 25만회,1년 전
고등학생이 만든 실사판 어몽어스 맵 High Schoolers made AMONG US giant Board Game (All Tasks Working!),14:24,조회수 391만회,1년 전
"아니, 깨지지 않고 무조건 터져버리는 신기한 유리가 있다고?",7:27,조회수 117만회,1년 전
공돌이가 쇼미9 보다가 꽂혀서 만든 아크원자로 합격 목걸이,10:20,조회수 11만회,1년 전
립밤에도 칼로리가 있을까? 먹으면 살찔까?,8:21,조회수 14만회,1년 전
물수제비 100번 튕기는 거 보쉴?ㅋㅋㅋ (궁극의 물수제비 기계 만들어봄),14:53,조회수 347만회,1년 전
한 물리학자가 개발한.. 마찰력만으로 테니스공 탑을 쌓는 방법.. 진짜될까?!,8:22,조회수 66만회,1년 전
물이 스스로 다른 통으로 이동한다고?? 직접 실험 해봄ㅋㅋㅋ (해외에서 난리난 실험),8:01,조회수 175만회,1년 전
